"Participant_ID","Accuracy","AccuracyAtLeast75","AccuracyAtLeast90","Age","Sex","Education","Trial","Cue","Flanker","RT","Visual_Acuity"
2,1,1,1,72,"Female",16,14,"DOUBLE","INCONGRUENT",681,0.9
2,1,1,1,72,"Female",16,21,"SPATIAL","CONGRUENT",825,0.9
2,1,1,1,72,"Female",16,19,"SPATIAL","INCONGRUENT",917,0.9
2,1,1,1,72,"Female",16,12,"SPATIAL","INCONGRUENT",788,0.9
2,1,1,1,72,"Female",16,15,"CENTRAL","INCONGRUENT",728,0.9
2,1,1,1,72,"Female",16,82,"NOCUE","INCONGRUENT",647,0.9
2,1,1,1,72,"Female",16,71,"DOUBLE","INCONGRUENT",565,0.9
2,1,1,1,72,"Female",16,49,"DOUBLE","CONGRUENT",854,0.9
2,1,1,1,72,"Female",16,47,"CENTRAL","INCONGRUENT",558,0.9
2,1,1,1,72,"Female",16,1,"SPATIAL","CONGRUENT",983,0.9
2,1,1,1,72,"Female",16,3,"DOUBLE","INCONGRUENT",891,0.9
2,1,1,1,72,"Female",16,31,"DOUBLE","INCONGRUENT",851,0.9
2,1,1,1,72,"Female",16,46,"SPATIAL","CONGRUENT",763,0.9
2,1,1,1,72,"Female",16,58,"NOCUE","CONGRUENT",844,0.9
2,1,1,1,72,"Female",16,13,"NOCUE","INCONGRUENT",616,0.9
2,1,1,1,72,"Female",16,26,"NOCUE","CONGRUENT",876,0.9
2,1,1,1,72,"Female",16,41,"SPATIAL","INCONGRUENT",849,0.9
2,1,1,1,72,"Female",16,59,"NOCUE","INCONGRUENT",843,0.9
2,1,1,1,72,"Female",16,87,"DOUBLE","CONGRUENT",724,0.9
2,1,1,1,72,"Female",16,8,"CENTRAL","INCONGRUENT",889,0.9
2,1,1,1,72,"Female",16,35,"CENTRAL","INCONGRUENT",736,0.9
2,1,1,1,72,"Female",16,78,"CENTRAL","CONGRUENT",659,0.9
2,1,1,1,72,"Female",16,76,"NOCUE","CONGRUENT",596,0.9
2,1,1,1,72,"Female",16,66,"NOCUE","INCONGRUENT",876,0.9
2,1,1,1,72,"Female",16,18,"SPATIAL","INCONGRUENT",784,0.9
2,1,1,1,72,"Female",16,16,"DOUBLE","INCONGRUENT",1176,0.9
3,1,1,1,77,"Female",6,6,"CENTRAL","INCONGRUENT",832,1
3,1,1,1,77,"Female",6,90,"NOCUE","INCONGRUENT",737,1
3,1,1,1,77,"Female",6,89,"DOUBLE","INCONGRUENT",964,1
3,1,1,1,77,"Female",6,23,"SPATIAL","INCONGRUENT",676,1
3,1,1,1,77,"Female",6,3,"CENTRAL","CONGRUENT",695,1
3,1,1,1,77,"Female",6,13,"DOUBLE","CONGRUENT",854,1
3,1,1,1,77,"Female",6,47,"NOCUE","INCONGRUENT",765,1
3,1,1,1,77,"Female",6,33,"DOUBLE","INCONGRUENT",933,1
3,1,1,1,77,"Female",6,20,"CENTRAL","CONGRUENT",606,1
3,1,1,1,77,"Female",6,15,"DOUBLE","CONGRUENT",804,1
3,1,1,1,77,"Female",6,43,"NOCUE","CONGRUENT",651,1
3,1,1,1,77,"Female",6,50,"SPATIAL","INCONGRUENT",657,1
3,1,1,1,77,"Female",6,46,"NOCUE","CONGRUENT",811,1
3,1,1,1,77,"Female",6,10,"CENTRAL","CONGRUENT",702,1
3,1,1,1,77,"Female",6,25,"NOCUE","CONGRUENT",763,1
3,1,1,1,77,"Female",6,88,"CENTRAL","INCONGRUENT",934,1
3,1,1,1,77,"Female",6,39,"NOCUE","CONGRUENT",908,1
3,1,1,1,77,"Female",6,37,"DOUBLE","INCONGRUENT",699,1
3,1,1,1,77,"Female",6,44,"CENTRAL","CONGRUENT",923,1
3,1,1,1,77,"Female",6,40,"NOCUE","INCONGRUENT",763,1
3,1,1,1,77,"Female",6,53,"SPATIAL","INCONGRUENT",667,1
3,1,1,1,77,"Female",6,29,"SPATIAL","INCONGRUENT",835,1
3,1,1,1,77,"Female",6,14,"DOUBLE","INCONGRUENT",730,1
3,1,1,1,77,"Female",6,49,"CENTRAL","INCONGRUENT",737,1
3,1,1,1,77,"Female",6,91,"DOUBLE","CONGRUENT",761,1
3,1,1,1,77,"Female",6,68,"SPATIAL","CONGRUENT",662,1
3,1,1,1,77,"Female",6,81,"NOCUE","CONGRUENT",683,1
3,1,1,1,77,"Female",6,30,"SPATIAL","CONGRUENT",664,1
3,1,1,1,77,"Female",6,56,"CENTRAL","CONGRUENT",728,1
3,1,1,1,77,"Female",6,86,"SPATIAL","CONGRUENT",738,1
3,1,1,1,77,"Female",6,55,"CENTRAL","CONGRUENT",635,1
3,1,1,1,77,"Female",6,36,"CENTRAL","INCONGRUENT",742,1
3,1,1,1,77,"Female",6,2,"SPATIAL","CONGRUENT",557,1
3,1,1,1,77,"Female",6,54,"DOUBLE","CONGRUENT",571,1
3,1,1,1,77,"Female",6,31,"NOCUE","CONGRUENT",726,1
3,1,1,1,77,"Female",6,4,"SPATIAL","INCONGRUENT",682,1
3,1,1,1,77,"Female",6,65,"DOUBLE","CONGRUENT",569,1
